Toei.Takatsuto.861.2,"35.83971137,139.2152268",,,,,,
Toei.Takatsuto.861.1,"35.83966905,139.2152148",,,,,,
Toei.Shimohata.658.1,"35.83830729,139.292181",,,,,,
Toei.Shimohata.658.2,"35.83822808,139.2921506",,,,,,
Toei.Kamihata.358.1,"35.83781033,139.2853277",,,,,,
Toei.Narikiicchoumeyotsukaku.661.1,"35.8377398,139.2805718",,,,,,
Toei.Kamihata.358.2,"35.83768446,139.284911",,,,,,
Toei.Narikiicchoumeyotsukaku.661.2,"35.83765734,139.2802615",,,,,,
Toei.Narikiicchoumejichikaikammae.660.1,"35.83753689,139.2782791",,,,,,
Toei.Narikiicchoumejichikaikammae.660.2,"35.83752604,139.2786871",,,,,,
Toei.Kaminariki.354.1,"35.83698134,139.2028266",,,,,,
Toei.Kokaibashi.515.2,"35.83688802,139.2173687",,,,,,
Toei.Kokaibashi.515.1,"35.83683485,139.2172993",,,,,,
Toei.Oozasu.207.2,"35.83578559,139.2092133",,,,,,
Toei.Oozasu.207.1,"35.83567057,139.2091895",,,,,,
Toei.Nakazatobashi.1076.2,"35.83558594,139.2744727",,,,,,
Toei.Nakazatobashi.1076.1,"35.83557834,139.2743305",,,,,,
Toei.Tomiokaicchoume.2147.2,"35.83399197,139.2971148",,,,,,
Toei.Tomiokaicchoume.2147.1,"35.83398763,139.2971984",,,,,,
Toei.Narikinichoumejichikaikammae.1075.2,"35.83328559,139.2716385",,,,,,
Toei.Narikinichoumejichikaikammae.1075.1,"35.83325304,139.2714431",,,,,,
Toei.Umegadaira.148.2,"35.83319444,139.2245182",,,,,,
Toei.Umegadaira.148.1,"35.83308594,139.2245573",,,,,,
Toei.Iwaidou.124.2,"35.83283637,139.2969553",,,,,,
Toei.Iwaidou.124.1,"35.8326888,139.2970215",,,,,,
Toei.Takinari.875.2,"35.83176975,139.2302886",,,,,,
Toei.Sakakubashi.566.1,"35.83173069,139.2683995",,,,,,
Toei.Sakakubashi.566.2,"35.83172743,139.2686838",,,,,,
Toei.Takinari.875.1,"35.83152018,139.2302441",,,,,,
Toei.Kyuudou.431.2,"35.83005968,139.2377376",,,,,,
Toei.Kyuudou.431.1,"35.83000434,139.2374653",,,,,,
Toei.Narikisanchoume.229.1,"35.82967122,139.2637467",,,,,,
Toei.Narikisanchoume.229.2,"35.82959635,139.2637467",,,,,,
Toei.Chuuoubashi.930.2,"35.82936632,139.2936317",,,,,,
Toei.Chuuoubashi.930.1,"35.82930122,139.2936903",,,,,,
Toei.Joufukujiiriguchi.757.1,"35.82845161,139.2922168",,,,,,
Toei.Narikishougakkoumae.211.2,"35.8281543,139.2607693",,,,,,
Toei.Narikishougakkoumae.211.1,"35.82811523,139.2606565",,,,,,
Toei.Joufukujiiriguchi.757.2,"35.82802409,139.2913791",,,,,,
Toei.Narikigochoumejichikaikammae.1385.2,"35.82769531,139.2427322",,,,,,
